SQ_CANDIDATO;CD_GENERO_N;CD_GRAU_INSTRUCAO_N;NR_PARTIDO_N;CD_OCUPACAO_N;CD_SITUCAO_N;CARGO_N;RECEITA_TOTAL_N;QTD_VOTOS_N;CUSTO_VOTO_N;DESPESA_CONTRATADA_N;VR_TOTAL_BEM_CANDIDATO_N
160000621780;0.2;0.8;0.77;0.999;0.5;0.6;0.01235047;0.067125;1.83992e-05;0.12405050000000001;0.018357655
130000624459;0.4;0.8;0.19;0.277;0.5;0.6;0.02499915;0.036234;6.89936e-05;0.24717503899999999;0.037586761
190000619297;0.4;0.6;0.2;0.999;0.5;0.7;1.762e-05;4e-05;4.405e-05;0.0;0.0
250000613433;0.4;0.2;0.17;0.999;0.5;0.6;0.0001;0.000278;3.59712e-05;0.001003639;0.0
110000614602;0.2;0.8;0.14;0.169;0.5;0.7;0.00448204;0.009154;4.8962600000000005e-05;0.039315008;0.002285923
250000623668;0.2;0.6;0.28;0.257;0.4;0.7;0.00024417;0.000489;4.99325e-05;0.002270688;0.0
160000623134;0.2;0.7;0.33;0.257;0.5;0.6;0.02372127;0.034206;6.93483e-05;0.236241007;0.033589671
90000608274;0.4;0.5;0.25;0.169;0.5;0.7;0.00012292;0.000297;4.13872e-05;0.00100862;0.0
240000619247;0.2;0.7;0.4;0.257;0.5;0.6;0.02126968;0.019837;0.00010722229999999999;0.20973334899999999;0.017436383
30000602689;0.2;0.8;0.31;0.999;0.5;0.6;0.001815;0.002317;7.833409999999999e-05;0.01797724;0.000551
190000610770;0.2;0.4;0.65;0.999;0.5;0.7;2.322e-05;5.2e-05;4.46538e-05;0.0;0.0
10000600133;0.2;0.8;0.43;0.233;0.5;0.7;0.00019896;0.000399;4.9864700000000004e-05;0.0015;0.000445
130000610186;0.4;0.2;0.36;0.169;0.5;0.6;2.694e-05;5.2e-05;5.18077e-05;0.0002;5e-07
180000614054;0.4;0.8;0.11;0.23;0.5;0.7;0.00980156;0.021584;4.5411199999999996e-05;0.09225854300000001;0.0009049360000000001
90000620446;0.2;0.7;0.4;0.278;0.5;0.7;0.000511;0.001545;3.30744e-05;0.00491;0.000899197
170000614150;0.2;0.4;0.77;0.169;0.5;0.7;0.0002025;0.00056;3.61607e-05;0.001349999;7.1e-05
80000627605;0.4;0.6;0.14;0.257;0.5;0.7;0.0001;0.000251;3.98406e-05;0.0009775;0.0
90000608291;0.2;0.8;0.2;0.234;0.5;0.7;0.00414537;0.004324;9.586889999999999e-05;0.040518702000000004;0.007503317
190000611500;0.2;0.6;0.9;0.999;0.5;0.7;0.00021092;0.00075;2.81227e-05;0.002;0.0
210000604718;0.2;0.7;0.35;0.171;0.5;0.7;0.00038425;0.001474;2.60685e-05;0.0034946459999999997;0.000101
160000623146;0.2;0.8;0.4;0.257;0.5;0.6;0.02147459;0.019706;0.0001089749;0.192270188;0.006370145
140000625081;0.2;0.8;0.23;0.131;0.5;0.7;9.168e-05;0.000263;3.48593e-05;0.0006839560000000001;0.000232
60000612533;0.2;0.8;0.22;0.257;0.5;0.7;0.00012788;0.000489;2.61513e-05;0.001000005;0.0
230000602393;0.4;0.8;0.15;0.277;0.5;0.6;0.0248659;0.004555;0.0005459034;0.244686525;0.002202554
210000605825;0.2;0.8;0.23;0.298;0.5;0.7;0.00072303;0.003763;1.92142e-05;0.003010063;0.000155
140000604300;0.2;0.7;0.2;0.257;0.5;0.7;6.59e-05;0.000119;5.53782e-05;0.000521;2.3e-05
180000604121;0.2;0.7;0.45;0.999;0.5;0.6;0.001383;0.002956;4.6786199999999996e-05;0.011436755;0.000137924
50000608066;0.2;0.8;0.15;0.142;0.4;0.6;0.0002;0.000343;5.8308999999999993e-05;0.002;0.0
270000610965;0.2;0.8;0.4;0.257;0.5;0.6;0.00220826;0.004211;5.24403e-05;0.020129885;0.0010837
210000605908;0.4;0.6;0.77;0.257;0.5;0.7;7.947e-05;0.000327;2.43028e-05;0.000205564;0.0
250000619461;0.4;0.8;0.22;0.115;0.5;0.6;0.00951393;0.007417;0.00012827190000000001;0.089311172;0.000995736
200000606766;0.4;0.8;0.65;0.266;0.5;0.7;1.677e-05;3.9e-05;4.3e-05;5.9999999999999995e-05;0.00015500100000000002
250000602988;0.4;0.6;0.51;0.999;0.4;0.7;2.656e-05;4.7e-05;5.65106e-05;0.0;0.0
80000613532;0.2;0.6;0.45;0.297;0.5;0.7;7.554e-05;0.000124;6.09194e-05;1e-05;0.0
100000601197;0.4;0.6;0.77;0.999;0.5;0.7;6e-05;0.000111;5.40541e-05;0.0006;0.000355
230000625988;0.2;0.8;0.19;0.124;0.5;0.7;9.042e-05;0.000114;7.93158e-05;0.00033;0.0008797010000000001
230000614204;0.2;0.8;0.21;0.297;0.4;0.7;0.0001136;0.000107;0.00010616819999999999;0.00100132;2e-07
100000609117;0.2;0.8;0.55;0.297;0.5;0.6;0.0082813;0.016175;5.119810000000001e-05;0.07947977;0.001298583
250000628743;0.4;0.6;0.14;0.169;0.5;0.6;0.00025;0.000251;9.96016e-05;0.0025000179999999997;0.0
140000603603;0.4;0.6;0.1;0.303;0.5;0.7;0.0006793;0.002515;2.7009899999999997e-05;0.005254;0.000150384
130000620816;0.4;0.6;0.15;0.257;0.5;0.6;0.00131046;0.004259;3.0769200000000003e-05;0.011357051000000002;5e-05
120000624896;0.2;0.6;0.22;0.999;0.5;0.7;0.00028;0.000184;0.0001521739;0.0025440000000000003;0.0
130000620911;0.2;0.8;0.12;0.142;0.5;0.7;0.00036405;0.000632;5.76028e-05;0.003482;0.0
250000618566;0.2;0.6;0.44;0.166;0.4;0.7;9.187e-05;0.000299;3.0725799999999996e-05;0.0;0.0
250000603041;0.2;0.6;0.51;0.124;0.5;0.7;7.027e-05;0.000186;3.77796e-05;0.0006;1.5e-05
10000600116;0.2;0.8;0.5;0.265;0.5;0.7;0.00078068;0.001805;4.3251e-05;0.00321624;0.0
180000620150;0.2;0.8;0.51;0.266;0.5;0.7;6.946e-05;0.00021;3.30762e-05;0.00064868;3e-05
